web-scraper-order,web-scraper-start-url,properties,properties-href,address,bed,bath,sqft,price
"1656272314-82","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1609-Leesburg-Ct_Marietta_GA_30062_M60515-01404","1609 Leesburg Ct, Marietta, GA 30062","4","3.5","3,460","$600,000"
"1656272034-45","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/1770-Starlight-Dr_Marietta_GA_30062_M54791-21901","1770 Starlight Dr, Marietta, GA 30062","3","2","1,737","$376,000"
"1656273457-257","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2951-Bea-Mar-Dr_Marietta_GA_30062_M68660-97121","2951 Bea Mar Dr, Marietta, GA 30062","5","3.5","3,858","$829,000"
"1656272679-133","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/3817-Oxford-Way-E_Marietta_GA_30062_M56868-76381","3817 Oxford Way E, Marietta, GA 30062","4","3","null","$305,000"
"1656271891-25","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/3550-Davis-Rd_Marietta_GA_30062_M65381-42305","3550 Davis Rd, Marietta, GA 30062","null","null","null","$700,000"
"1656272321-83","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/3601-Lassiter-Rd_Marietta_GA_30062_M56786-40608","3601 Lassiter Rd, Marietta, GA 30062","4","3.5","2,891","$450,000"
"1656273171-201","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/1101-Promontory-Dr_Marietta_GA_30062_M60968-54056","1101 Promontory Dr, Marietta, GA 30062","6","3.5","5,129","$869,000"
"1656272005-41","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/3298-Rangers-Gate_Marietta_GA_30062_M51290-31115","3298 Rangers Gate, Marietta, GA 30062","null","null","null","$149,900"
"1656272447-100","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1507-Kingfisher-Dr_Marietta_GA_30062_M59066-36793","1507 Kingfisher Dr, Marietta, GA 30062","4","2.5","2,529","$589,000"
"1656272476-104","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2067-Kinridge-Ct_Marietta_GA_30062_M67640-25704","2067 Kinridge Ct, Marietta, GA 30062","3","2.5","2,304","$460,000"
"1656271991-39","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4113-Avid-Park-25_Marietta_GA_30062_M93860-47414","4113 Avid Park NE Unit 25, Marietta, GA 30062","3","3.5","3,333","$920,400"
"1656272757-143","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1607-Glen-Ivy-16_Marietta_GA_30062_M53143-24199","1607 Glen Ivy Unit 16, Marietta, GA 30062","3","2.5","1,758","$435,645"
"1656273130-195","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/3012-Lassiter-Rd_Marietta_GA_30062_M59263-25103","3012 Lassiter Rd, Marietta, GA 30062","4","3.5","null","$640,000"
"1656273420-251","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/3238-Rangers-Gate_Marietta_GA_30062_M51259-38042","3238 Rangers Gate, Marietta, GA 30062","4","3","2,218","$495,000"
"1656273059-185","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/3240-Moss-Creek-Dr_Marietta_GA_30062_M51558-99860","3240 Moss Creek Dr, Marietta, GA 30062","4","2.5","null","$525,000"
"1656271984-38","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/2246-Roswell-Rd_Marietta_GA_30062_M64136-77207","Roswell Rd, Marietta, GA 30062","null","null","null","$239,900"
"1656273416-250","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2499-Regency-Lake-Dr_Marietta_GA_30062_M52934-37081","2499 Regency Lake Dr, Marietta, GA 30062","5","4.5","4,273","$800,000"
"1656273332-233","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2518-Kingsley-Dr-NE_Marietta_GA_30062_M53562-67461","2518 Kingsley Dr NE, Marietta, GA 30062","4","3","null","$425,000"
"1656272504-108","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2585-Spencers-Trce-NE_Marietta_GA_30062_M50325-75484","2585 Spencers Trce NE, Marietta, GA 30062","4","3","null","$410,000"
"1656272375-91","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1575-Wildwood-Rd_Marietta_GA_30062_M62339-09449","1575 Wildwood Rd, Marietta, GA 30062","3","2","1,064","$249,000"
"1656272956-171","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2457-Alston-Dr-NE_Marietta_GA_30062_M54773-44508","2457 Alston Dr NE, Marietta, GA 30062","3","2.5","2,649","$425,000"
"1656273433-254","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/3841-Running-Fox-Dr_Marietta_GA_30062_M65219-05727","3841 Running Fox Dr, Marietta, GA 30062","4","2.5","null","$649,900"
"1656273159-199","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/1893-Clinton-Dr_Marietta_GA_30062_M51253-56308","1893 Clinton Dr, Marietta, GA 30062","3","2.5","null","$497,000"
"1656273138-196","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2435-Lizdionne-Loop_Marietta_GA_30062_M99254-52271","2435 Lizdionne Loop, Marietta, GA 30062","4","4.5","3,659","$953,054"
"1656273213-210","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/4554-Rutherford-Dr_Marietta_GA_30062_M57853-03959","4554 Rutherford Dr, Marietta, GA 30062","6","4.5","4,716","$930,000"
"1656273472-259","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1103-Azalea-Cir_Marietta_GA_30062_M65534-13118","1103 Azalea Cir, Marietta, GA 30062","4","1.5","1,620","$325,000"
"1656272497-107","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1860-Leighton-Ln-NE_Marietta_GA_30062_M61072-05764","1860 Leighton Ln NE, Marietta, GA 30062","5","4","3,949","$869,500"
"1656272537-113","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/3870-Sweat-Creek-Run_Marietta_GA_30062_M51634-71664","3870 Sweat Creek Run, Marietta, GA 30062","6","5","5,931","$999,900"
"1656272072-50","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/1924-Wynn-Dr_Marietta_GA_30062_M54739-41935","1924 Wynn Dr, Marietta, GA 30062","3","2","1,589","$354,000"
"1656272835-154","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1552-Smithwood-Dr_Marietta_GA_30062_M59464-36820","1552 Smithwood Dr, Marietta, GA 30062","3","2","1,666","$449,000"
"1656272891-162","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1980-Kramer-Way_Marietta_GA_30062_M69365-29752","1980 Kramer Way, Marietta, GA 30062","4","3","2,411","$410,000"
"1656272635-127","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2105-Blaylock-Dr_Marietta_GA_30062_M61425-18837","2105 Blaylock Dr, Marietta, GA 30062","3","2.5","1,579","$450,000"
"1656272101-53","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2643-Octavia-Ln_Marietta_GA_30062_M67325-61876","2643 Octavia Ln, Marietta, GA 30062","5","6.5","6,200","$1,695,000"
"1656273024-180","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/3402-Devoe-Ct_Marietta_GA_30062_M69318-34243","3402 Devoe Ct, Marietta, GA 30062","5","3","2,920","$595,000"
"1656272862-158","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/4172-Avid-Park-6_Marietta_GA_30062_M94233-20834","4172 Avid Park Unit 6, Marietta, GA 30062","4","3.5","2,913","$948,000"
"1656273449-256","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1870-Kristen-Mill-Way_Marietta_GA_30062_M65046-54744","1870 Kristen Mill Way, Marietta, GA 30062","3","2.5","null","$425,000"
"1656272621-125","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/4105-Avid-Park-27_Marietta_GA_30062_M98201-78758","4105 Avid Park NE Unit 27, Marietta, GA 30062","3","3.5","null","$833,000"
"1656273190-205","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/1562-Dewberry-Trl_Marietta_GA_30062_M56937-02346","1562 Dewberry Trl, Marietta, GA 30062","3","2","null","$335,000"
"1656272735-140","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/3975-Chapel-Grove-Dr_Marietta_GA_30062_M51444-51512","3975 Chapel Grove Dr, Marietta, GA 30062","6","5","5,310","$1,097,000"
"1656272307-81","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/4058-Cloister-Dr_Marietta_GA_30062_M62555-91930","4058 Cloister Dr, Marietta, GA 30062","4","3.5","4,225","$639,900"
"1656273094-190","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/3620-Allpoint-Dr_Marietta_GA_30062_M56945-15900","3620 Allpoint Dr, Marietta, GA 30062","4","2.5","2,105","$445,000"
"1656272587-120","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1835-Tree-Top-Way_Marietta_GA_30062_M53059-09800","1835 Tree Top Way, Marietta, GA 30062","4","3","3,165","$430,000"
"1656271876-23","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4349-Bishop-Lake-Rd_Marietta_GA_30062_M50559-67123","4349 Bishop Lake Rd, Marietta, GA 30062","null","null","null","$675,000"
"1656272764-144","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1949-Mozelle-Dr_Marietta_GA_30062_M59346-34888","1949 Mozelle Dr, Marietta, GA 30062","4","2","2,660","$599,000"
"1656272232-71","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1702-Barrington-Cir_Marietta_GA_30062_M55775-41255","1702 Barrington Cir, Marietta, GA 30062","4","2.5","3,436","$600,000"
"1656272991-176","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/57-Kathryn-Way_Marietta_GA_30062_M62761-88624","57 Kathryn Way, Marietta, GA 30062","3","2.5","2,090","$430,000"
"1656272714-137","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2443-Lizdionne-Loop_Marietta_GA_30062_M96663-63926","2443 Lizdionne Loop, Marietta, GA 30062","4","4.5","3,659","$960,623"
"1656272905-164","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1842-Hill-Rd_Marietta_GA_30062_M64999-59235","1842 Hill Rd, Marietta, GA 30062","4","2.5","2,631","$450,000"
"1656272064-49","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/2793-Sewell-Mill-Rd_Marietta_GA_30062_M98674-91594","2793 Sewell Mill Rd, Marietta, GA 30062","null","null","null","$300,000"
"1656272247-73","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2433-Hembree-Dr_Marietta_GA_30062_M61957-45975","2433 Hembree Dr, Marietta, GA 30062","7","6.5","6,922","$1,899,900"
"1656273465-258","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/4455-Freeman-Rd_Marietta_GA_30062_M53030-25801","4455 Freeman Rd, Marietta, GA 30062","6","4","4,086","$775,000"
"1656272806-150","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/4109-Avid-Park-26_Marietta_GA_30062_M90762-25561","4109 Avid Park NE Unit 26, Marietta, GA 30062","3","3.5","2,898","$924,195"
"1656271934-31","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/913-Sunny-Meadows-Ln_Marietta_GA_30062_M53286-66478","913 Sunny Meadows Ln, Marietta, GA 30062","5","5.5","4,232","$1,135,000"
"1656272226-70","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1981-Kinridge-Rd_Marietta_GA_30062_M67655-16342","1981 Kinridge Rd, Marietta, GA 30062","4","3","2,534","$468,000"
"1656272531-112","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2555-Lulworth-Ln_Marietta_GA_30062_M53299-01972","2555 Lulworth Ln, Marietta, GA 30062","5","5.5","5,590","$1,175,000"
"1656272041-46","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4264-Biltmore-Pl-NE_Marietta_GA_30062_M90531-91931","4264 Biltmore Pl NE, Marietta, GA 30062","6","6.5","8,070","$1,750,000"
"1656272580-119","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2077-Haverhill-Dr_Marietta_GA_30062_M65027-85149","2077 Haverhill Dr, Marietta, GA 30062","5","3.5","4,522","$825,000"
"1656272019-43","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/1609-Wildwood-Rd_Marietta_GA_30062_M57092-04979","1609 Wildwood Rd, Marietta, GA 30062","3","2","1,050","$327,000"
"1656273163-200","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/3652-Chestnut-Ridge-Ct_Marietta_GA_30062_M63113-30408","3652 Chestnut Ridge Ct, Marietta, GA 30062","3","2.5","3,078","$525,000"
"1656272706-136","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2439-Lizdionne-Loop_Marietta_GA_30062_M90765-71694","2439 Lizdionne Loop, Marietta, GA 30062","4","4.5","3,659","$950,384"
"1656273030-181","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2442-Salem-Dr-NE_Marietta_GA_30062_M52702-26971","2442 Salem Dr NE, Marietta, GA 30062","5","2.5","2,148","$500,000"
"1656272643-128","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1775-Millview-Dr_Marietta_GA_30062_M63342-14845","1775 Millview Dr, Marietta, GA 30062","3","3.5","1,492","$340,000"
"1656272219-69","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/3270-Wendwood-Dr_Marietta_GA_30062_M54376-67651","3270 Wendwood Dr, Marietta, GA 30062","4","2","null","$421,000"
"1656272277-77","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/3401-Camelot-Dr_Marietta_GA_30062_M53936-45201","3401 Camelot Dr, Marietta, GA 30062","3","2","3,024","$489,000"
"1656272657-130","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2212-Concord-Sq-NE_Marietta_GA_30062_M69398-95059","2212 Concord Sq NE, Marietta, GA 30062","4","2.5","null","$524,900"
"1656272260-75","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2555-Acacia-Park-Pl_Marietta_GA_30062_M63422-79330","2555 Acacia Park Pl, Marietta, GA 30062","5","4.5","6,720","$1,200,000"
"1656272552-115","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2632-Sheila-Ln_Marietta_GA_30062_M51324-62731","2632 Sheila Ln, Marietta, GA 30062","4","2","2,311","$435,000"
"1656271971-36","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/2660-Roswell-Rd_Marietta_GA_30062_M55980-70078","2660 Roswell Rd, Marietta, GA 30062","null","null","null","$360,000"
"1656272650-129","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2924-Wendover-St_Marietta_GA_30062_M61154-97880","2924 Wendover St, Marietta, GA 30062","5","3","2,576","$460,000"
"1656272559-116","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1326-Cameron-Glen-Dr_Marietta_GA_30062_M68247-57818","1326 Cameron Glen Dr, Marietta, GA 30062","5","4.5","4,506","$539,900"
"1656272362-89","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/764-Woodmont-Dr_Marietta_GA_30062_M50400-69087","764 Woodmont Dr, Marietta, GA 30062","4","2.5","2,704","$425,000"
"1656273355-237","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2001-Winsted-Way_Marietta_GA_30062_M65473-17951","2001 Winsted Way, Marietta, GA 30062","5","3.5","3,362","$850,000"
"1656271927-30","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/909-Sunny-Meadows-Ln_Marietta_GA_30062_M55916-38631","909 Sunny Meadows Ln, Marietta, GA 30062","5","5.5","4,393","$1,149,900"
"1656272517-110","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2121-Heritage-Trace-Dr_Marietta_GA_30062_M56090-24679","2121 Heritage Trace Dr, Marietta, GA 30062","4","2.5","2,644","$485,000"
"1656273018-179","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2715-Long-Grove-Dr_Marietta_GA_30062_M62902-75150","2715 Long Grove Dr, Marietta, GA 30062","5","4.5","7,500","$1,500,000"
"1656272057-48","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/3830-Bluffview-Dr_Marietta_GA_30062_M56142-82325","3830 Bluffview Dr, Marietta, GA 30062","null","null","null","$175,000"
"1656273245-217","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/697-Tom-Read-Dr_Marietta_GA_30062_M61908-04126","697 Tom Read Dr, Marietta, GA 30062","2","1","768","$288,000"
"1656271859-21","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4257-Biltmore-Pl-NE_Marietta_GA_30062_M98625-76463","4257 Biltmore Pl NE, Marietta, GA 30062","6","6.5","4,825","$1,790,000"
"1656272173-63","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2240-Piedmont-Forest-Dr_Marietta_GA_30062_M64440-60322","2240 Piedmont Forest Dr, Marietta, GA 30062","4","3","2,402","$499,900"
"1656272813-151","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/4156-Avid-Park-2_Marietta_GA_30062_M96187-20982","4156 Avid Park NE Unit 2, Marietta, GA 30062","3","3.5","null","$810,000"
"1656273231-214","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/766-Coventry-Township-Pl_Marietta_GA_30062_M60510-94108","766 Coventry Township, Marietta, GA 30062","3","2.5","1,676","$312,000"
"1656273003-177","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/1380-Allgood-Rd_Marietta_GA_30062_M61116-36743","1380 Allgood Rd, Marietta, GA 30062","null","null","null","$407,000"
"1656272820-152","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/4160-Avid-Park-3_Marietta_GA_30062_M98806-71766","4160 Avid Park NE Unit 3, Marietta, GA 30062","3","3.5","null","$827,000"
"1656272490-106","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/898-Halston-Ct_Marietta_GA_30062_M61765-05376","898 Halston Ct, Marietta, GA 30062","3","2.5","1,361","$385,000"
"1656271956-34","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4261-Biltmore-Pl-NE_Marietta_GA_30062_M96794-32913","4261 Biltmore Pl NE, Marietta, GA 30062","5","5.5","5,535","$1,695,000"
"1656273154-198","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2733-Riderwood-Ln-NE_Marietta_GA_30062_M68214-49892","2733 Riderwood Ln NE, Marietta, GA 30062","6","5","null","$789,999"
"1656273279-223","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/4412-Spring-Cir-NE_Marietta_GA_30062_M50526-50454","4412 Spring Cir NE, Marietta, GA 30062","4","4","4,408","$1,300,000"
"1656272432-98","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1432-Grovehurst-Dr_Marietta_GA_30062_M63505-11434","1432 Grovehurst Dr, Marietta, GA 30062","4","2.5","3,096","$669,999"
"1656272785-147","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1717-Kinsmon-Cv_Marietta_GA_30062_M57839-62385","1717 Kinsmon Cv, Marietta, GA 30062","5","4","4,169","$800,000"
"1656272777-146","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2127-Mitchell-Rd-NE_Marietta_GA_30062_M63856-27322","2127 Mitchell Rd NE, Marietta, GA 30062","6","5.5","4,681","$1,250,000"
"1656273363-239","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/3550-Saxon-Way_Marietta_GA_30062_M57885-41021","3550 Saxon Way, Marietta, GA 30062","4","3.5","3,677","$785,000"
"1656273100-191","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/3502-Sherborne-Chase_Marietta_GA_30062_M55757-15224","3502 Sherborne Chase, Marietta, GA 30062","5","3.5","null","$723,000"
"1656272524-111","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/4379-Edna-Ln-NE_Marietta_GA_30062_M99710-45804","4379 Edna Ln NE, Marietta, GA 30062","6","5.5","6,292","$959,900"
"1656273319-230","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2424-Brookvine-Ln_Marietta_GA_30062_M53292-12386","2424 Brookvine Ln, Marietta, GA 30062","3","2.5","2,604","$500,000"
"1656273376-242","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1809-Trailing-Ivy-Ct_Marietta_GA_30062_M51173-44131","1809 Trailing Ivy Ct, Marietta, GA 30062","4","3.5","3,788","$785,000"
"1656273395-246","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/3926-Brintons-Ml_Marietta_GA_30062_M62724-50657","3926 Brintons Ml, Marietta, GA 30062","4","2.5","2,444","$500,000"
"1656272828-153","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/3110-Skyridge-Ct_Marietta_GA_30062_M53560-55237","3110 Skyridge Ct, Marietta, GA 30062","3","2","1,753","$400,000"
"1656272884-161","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/3360-Keenland-Rd_Marietta_GA_30062_M57231-39812","3360 Keenland Rd, Marietta, GA 30062","5","4.5","5,558","$799,900"
"1656272686-134","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1134-Highland-Dr_Marietta_GA_30062_M69711-38440","1134 Highland Dr, Marietta, GA 30062","3","1.5","1,296","$270,000"
"1656272295-79","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/4000-Amberley-Ln_Marietta_GA_30062_M69792-36522","4000 Amberley Ln, Marietta, GA 30062","4","4.5","3,123","$699,000"
"1656271978-37","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/2282-Pan-Am-Ln_Marietta_GA_30062_M96584-73527","2282 Pan Am Ln, Marietta, GA 30062","5","5.5","5,000","$1,375,000"
"1656273202-208","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2437-Kingsley-Dr-NE_Marietta_GA_30062_M53631-61660","2437 Kingsley Dr NE, Marietta, GA 30062","5","3","4,119","$649,900"
"1656273429-253","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1551-Old-Mill-Xing_Marietta_GA_30062_M57957-33348","1551 Old Mill Xing, Marietta, GA 30062","4","2.5","2,798","$550,000"
"1656273240-216","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/1421-Chardin-Dr_Marietta_GA_30062_M54187-88340","1421 Chardin Dr, Marietta, GA 30062","3","2.5","1,860","$367,000"
"1656273479-260","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/4653-Amberwood-Trl_Marietta_GA_30062_M52454-64958","4653 Amberwood Trl, Marietta, GA 30062","5","6","5,359","$750,000"
"1656271950-33","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/2454-Marneil-Dr-NE_Marietta_GA_30062_M54738-04243","2454 Marneil Dr NE, Marietta, GA 30062","null","null","null","$375,000"
"1656272410-95","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1915-Mozelle-Dr_Marietta_GA_30062_M58535-15152","1915 Mozelle Dr, Marietta, GA 30062","5","4","null","$749,999"
"1656272948-170","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/3331-Casteel-Rd-NE_Marietta_GA_30062_M60775-12512","3331 Casteel Rd NE, Marietta, GA 30062","4","2.5","2,165","$470,000"
"1656272722-138","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2213-Lasalle-Dr_Marietta_GA_30062_M58512-27411","2213 Lasalle Dr, Marietta, GA 30062","5","4.5","4,631","$925,000"
