web-scraper-order,web-scraper-start-url,properties,properties-href,address,bed,bath,sqft,price
"1656272841-155","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2635-Indian-Lake-Dr_Marietta_GA_30062_M62034-97291","2635 Indian Lake Dr, Marietta, GA 30062","6","6.5","6,055","$1,399,000"
"1656272336-85","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2264-Belle-Vista-Ct_Marietta_GA_30062_M61815-10385","2264 Belle Vista Ct, Marietta, GA 30062","3","3.5","2,925","$522,000"
"1656273366-240","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/3838-Bluffview-Dr_Marietta_GA_30062_M56136-11538","3838 Bluffview Dr, Marietta, GA 30062","4","3.5","3,602","$695,000"
"1656272855-157","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/3929-Tall-Pine-Dr_Marietta_GA_30062_M56352-66200","3929 Tall Pine Dr, Marietta, GA 30062","4","2.5","2,400","$625,000"
"1656272254-74","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/3897-Beacon-St_Marietta_GA_30062_M55973-63587","3897 Beacon St, Marietta, GA 30062","3","2.5","3,348","$550,000"
"1656272847-156","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2713-Post-Oak-Dr_Marietta_GA_30062_M64656-11409","2713 Post Oak Dr, Marietta, GA 30062","3","2","1,385","$385,000"
"1656272939-169","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1812-Danforth-Dr_Marietta_GA_30062_M51478-27672","1812 Danforth Dr, Marietta, GA 30062","5","4.5","4,319","$825,000"
"1656272925-167","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/4671-Amberwood-Trl_Marietta_GA_30062_M64665-62653","4671 Amberwood Trl, Marietta, GA 30062","4","2.5+","3,487","$575,000"
"1656273288-225","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1603-Glen-Ivy-16_Marietta_GA_30062_M57248-83088","1603 Glen Ivy Unit 16, Marietta, GA 30062","3","2.5","1,758","$409,900"
"1656272511-109","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1653-Barn-Swallow-Pl_Marietta_GA_30062_M54951-08990","1653 Barn Swallow Pl, Marietta, GA 30062","4","2.5","2,652","$499,900"
"1656272793-148","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2699-Tritt-Springs-Trce-NE_Marietta_GA_30062_M63402-86045","2699 Tritt Springs Trce NE, Marietta, GA 30062","4","3","2,962","$650,000"
"1656271866-22","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4039-Oak-Forest-Cir_Marietta_GA_30062_M50959-16214","4039 Oak Forest Cir, Marietta, GA 30062","5","5.5","5,114","$1,700,000"
"1656271941-32","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4256-Biltmore-Pl-NE_Marietta_GA_30062_M97564-19802","4256 Biltmore Pl NE, Marietta, GA 30062","5","5.5","null","$1,489,000"
